flexeme_id,inflection_class,lila_id_lemma,lila_id_ipolemma,hasInflectionType
a0768,0,87649,,v1r
a0770,1,87652,,v1r
a0772,76,87654,,v4r
a0772_2,37,87654,,v4r
a0774,1,87657,,v1r
a0777,1,87661,,v1r
a0780,3,87664,,v3r
a0781,3,87665,,v3r
a0792,1,87676,,v1r
a0792_2,1,87676,,v1r
a0793,72,87677,,v1d
a0793_2,72,87677,,v1d
a0796,94,87682,,v3r
a0796_2,94,87682,,v3r
a0797,95,87683,,v3e
a0799,1,87685,,v1r
a0800,96,87686,,v3r
a0807,72,87693,,v1d
a0807_2,72,87693,,v1d
a0809,37,87695,,v4r
a0809_2,37,87695,,v4r
a0810,1,87697,,v1r
a0811,0,87698,,v1r
a0820,1,87710,,v1r
a0822,1,87712,,v1r
a0829,1,87719,,v1r
a0829_2,1,87719,,v1r
a0831,1,87721,,v1r
a0832,1,87722,,v1r
a0832_2,1,87722,,v1r
a0833,39,87723,,v3r
a0835,0,87725,,v2r
a0836,97,87726,,v3r
a0841,12,87732,,v1d
a0852,1,87744,,v1r
a0860,12,87752,,v1d
a0860_2,12,87752,,v1d
a0862,1,87755,,v1r
a0880,0,87780,,v2r
a0880_sc,3,87781,,v3r
a0890,1,87792,,v1r
a0890_2,1,87792,,v1r
a0900,1,87804,,v1r
a0940,1,87847,,v1r
a0951,1,87859,,v1r
a0951_2,1,87859,,v1r
a0961,1,87869,,v1r
a0985,0,87899,,v1r
a0994,29,87908,,v1r
a1003,0,87917,,v1r
a1014,72,87928,,v1d
a1025,1,87940,,v1r
a1025_2,1,87940,,v1r
a1025_3,98,87940,,v1r
a1028,1,87943,,v1r
a1034,1,87951,,v1r
a1042,0,87960,,v1r
a1054,0,87974,,v1r
a1064,72,87985,,v1d
a1064_2,72,87985,,v1d
a1076,1,87998,,v1r
a1076_2,1,87998,,v1r
a1079,99,88001,,v6r
a1079_2,3,88001,,v6r
a1079_3,19,88001,,v6r
a1079_4,100,88001,,v6r
a1079_5,3,88001,,v6r
a1079_6,19,88001,,v6r
a1079_7,,88001,,v6r
a1079_8,,88001,,v6r
a1079_9,90,88001,,v6r
a1080,0,88002,,v1r
a1080_2,0,88002,,v1r
a1081,56,88003,,v5r
a1081_2,56,88003,,v5r
a1084,101,88006,,v3r
a1084_2,101,88006,,v3r
a1085,1,88007,,v1r
a1085_2,1,88007,,v1r
a1087,102,88009,,v3r
a1087_2,102,88009,,v3r
a1093,1,88015,,v1r
a1093_2,1,88015,,v1r
a1098,103,88020,,v3r
a1098_2,103,88020,,v3r
a1099,74,88021,,v2r
a1099_2,74,88021,,v2r
a1101,1,88023,,v1r
a1101_2,1,88023,,v1r
a1104,16,88026,,v3r
a1104_2,16,88026,,v3r
a1104_3,,88026,,v3r
a1104_4,,88026,,v3r
a1105,1,88027,,v1r
a1105_2,1,88027,,v1r
a1108,104,88030,,v3r
a1108_2,104,88030,,v3r
a1111,105,88033,,v5r
a1111_2,105,88033,,v5r
a1112,106,88034,,v1d
a1112_2,106,88034,,v1d
a1112_3,12,88034,,v1d
a1113,0,88035,,v1r
a1113_2,0,88035,,v1r
a1114,107,88036,,v3r
a1114_2,108,88036,,v3r
a1114_3,107,88036,,v3r
a1114_4,108,88036,,v3r
a1115,3,88037,,v3r
a1115_2,3,88037,,v3r
a1116,109,88038,,v1r
a1116_2,110,88038,,v1r
a1116_3,109,88038,,v1r
a1116_4,110,88038,,v1r
a1117,0,88039,,v1r
a1117_2,0,88039,,v1r
a1118,43,88040,,v2r
a1118_2,43,88040,,v2r
a1119,111,88041,,v3r
a1119_2,111,88041,,v3r
a1120,1,88042,,v1r
a1120_2,1,88042,,v1r
a1122,104,88044,,v3r
a1122_2,104,88044,,v3r
a1122_3,104,88044,,v3r
a1139,37,88063,,v4r
a1139_2,37,88063,,v4r
a1140,0,88064,,v2r
a1140_2,0,88064,,v2r
a1141,3,88065,,v3r
a1141_2,3,88065,,v3r
a1142,0,88066,,v1r
a1142_2,0,88066,,v1r
a1144,12,88068,,v1d
a1144_2,12,88068,,v1d
a1149,97,88073,,v3r
a1149_2,97,88073,,v3r
a1150,1,88074,,v1r
a1150_2,1,88074,,v1r
a1152,1,88076,,v1r
a1152_2,1,88076,,v1r
a1154,1,88078,,v1r
a1154_2,1,88078,,v1r
a1156,3,88080,,v3r
a1156_2,3,88080,,v3r
a1157,1,88081,,v1r
a1157_2,1,88081,,v1r
a1158,112,88083,,v5r
a1158_2,113,88083,,v5r
a1158_3,112,88083,,v5r
a1158_4,113,88083,,v5r
a1164,1,88091,,v1r
a1164_2,1,88091,,v1r
a1169,29,88096,,v1r
a1176,1,88103,,v1r
a1183,114,88110,,v3d
a1183_2,114,88110,,v3d
a1183_3,114,88110,,v3d
a1183_4,114,88110,,v3d
a1188,31,88116,,v6r
a1188_2,31,88116,,v6r
a1204,57,88134,,v3r
a1204_2,59,88134,,v3r
a1204_3,57,88134,,v3r
a1204_4,59,88134,,v3r
a1204_5,57,88134,,v3r
a1204_6,59,88134,,v3r
a1208,14,88140,,v3r
a1216,0,88152,,v1r
a1236,12,88177,,v1d
a1267,0,88211,,v1r
a1282,3,88232,,v3r
a1282_2,3,88232,,v3r
a1285,3,88236,,v3r
a1290,1,88242,,v1r
a1299,53,88251,,v1r
a1333,3,88293,,v3r
a1333_2,3,88293,,v3r
a1337,115,88297,,v2r
a1337_sc,116,88298,,v3r
a1359,0,88326,,v1r
a1362,1,88329,,v1r
a1378,1,88348,,v1r
a1378_2,1,88348,,v1r
a1379,0,88349,,v1r
a1384,117,88354,,v3d
a1384_2,117,88354,,v3d
a1385,0,88355,,v1r
a1385_2,0,88355,,v1r
a1386,0,88356,,v1r
a1386_2,0,88356,,v1r
a1387,0,88357,,v1r
a1387_2,0,88357,,v1r
a1388,3,88358,,v3r
a1388_2,3,88358,,v3r
a1390,1,88360,,v1r
a1390_2,1,88360,,v1r
a1392,0,88362,,v1r
a1392_2,0,88362,,v1r
a1393,0,88363,,v1r
a1393_2,0,88363,,v1r
a1393_3,0,88363,,v1r
a1393_4,0,88363,,v1r
a1398,0,88368,,v1r
a1398_2,0,88368,,v1r
a1403,1,88373,,v1r
a1403_2,1,88373,,v1r
a1404,118,88374,,v3r
a1404_2,118,88374,,v3r
a1408,0,88378,,v1r
a1414,1,88384,,v1r
a1414_2,1,88384,,v1r
a1415,1,88385,,v1r
a1415_2,1,88385,,v1r
a1415_3,1,88385,,v1r
a1415_4,1,88385,,v1r
a1416,23,88386,,v5r
a1416_2,23,88386,,v5r
a1417,119,88388,,v5r
a1417_2,30,88388,,v5r
a1417_3,44,88387,,v2r
a1417_4,119,88388,,v5r
a1417_5,30,88388,,v5r
a1417_6,44,88387,,v2r
a1418,28,88389,,v3r
a1418_2,28,88389,,v3r
a1424,1,88395,,v1r
a1424_2,1,88395,,v1r
a1425,37,88396,,v4r
a1425_2,37,88396,,v4r
a1426,120,88397,,v3r
a1426_2,120,88397,,v3r
a1428,3,88399,,v3r
a1428_2,3,88399,,v3r
a1434,121,88405,,v3d
a1434_2,121,88405,,v3d
a1436,3,88407,,v3r
a1436_2,3,88407,,v3r
a1436_3,3,88407,,v3r
a1436_4,3,88407,,v3r
a1437,41,88408,,v2r
a1437_2,41,88408,,v2r
a1439,72,88410,,v1d
a1439_2,72,88410,,v1d
a1440,0,88411,,v1r
a1440_2,0,88411,,v1r
a1441,28,88412,,v3r
a1441_2,28,88412,,v3r
a1442,19,88413,,v3r
a1442_2,19,88413,,v3r
a1457,122,88429,,v3r
a1457_2,123,88429,,v3r
a1457_3,124,88429,,v3r
a1461,72,88433,,v1d
a1474,0,88447,,v1r
a1476,31,88449,,v6r
a1476_2,31,88449,,v6r
a1486,1,88461,,v1r
a1493,1,88468,,v1r
a1495,0,88470,,v1r
a1499,3,88474,,v3r
a1499_2,3,88474,,v3r
a1508,0,88484,,v1r
a1527,1,88503,,v1r
a1533,7,88509,,v6r
a1533_2,8,88509,,v6r
a1533_3,9,88509,,v6r
a1533_4,0,88509,,v6r
a1533_5,0,88509,,v6r
a1533_6,125,88509,,v6r
a1537,72,88513,,v1d
a1537_2,72,88513,,v1d
a1537_3,72,88513,,v1d
a1537_4,72,88513,,v1d
a1552,72,88533,,v1d
a1570,1,88555,,v1r
a1570_2,1,88555,,v1r
a1571,41,88556,,v2r
a1576,3,88563,,v3r
a1578,1,88566,,v1r
a1579,0,88567,,v1r
a1585,1,88574,,v1r
a1586,0,88575,,v1r
a1590,3,88579,,v3r
a1600,37,88591,,v4r
a1612,34,88603,,v6r
a1622,126,88613,,v3r
a1626,17,88618,,v4r
a1626_2,18,88618,,v4r
a1650,1,88642,,v1r
a1650_2,1,88642,,v1r
a1650_3,127,88642,,v1r
a1653,97,88645,,v3r
a1679,128,88674,,v4r
a1679_2,67,88674,,v4r
a1679_3,129,88674,,v4r
a1682,1,88678,,v1r
a1684,12,88680,,v1d
a1688,0,88685,,v1r
a1692,0,88691,,v1r
a1694,1,88693,,v1r
a1694_2,1,88693,,v1r
a1705,1,88705,,v1r
a1709,1,88709,,v1r
a1712,86,88713,,v4d
a1723,85,88724,,v3r
a1723_2,,88724,,v3r
a1724,88,88725,,v2r
a1752,63,88756,,v3r
a1762,130,88768,,v3r
a1762_2,3,88768,,v3r
a1766,1,88773,,v1r
a1772,1,88779,,v1r
a1774,1,88781,,v1r
a1777,0,88784,,v1r
a1781,1,88788,,v1r
a1781_2,1,88788,,v1r
a1781_3,1,88788,,v1r
a1781_4,1,88788,,v1r
a1781_5,127,88788,,v1r
a1786,72,88793,,v1d
a1792,1,88799,,v1r
a1812,1,88822,,v1r
a1812_2,1,88822,,v1r
a1874,131,88891,,v3d
a1875,132,88892,,v2r
a1875_2,,88892,,v2r
a1878,133,88896,,v3r
a1895,1,88914,,v1r
a1896,0,88915,,v1r
a1899,134,88918,,v3d
a1919,1,88943,,v1r
a1925,0,88951,,v1r
a1925_2,0,88951,,v1r
a1925_3,0,88951,,v1r
a1944,94,88974,,v3r
a1944_2,94,88974,,v3r
a1951,0,88982,,v1r
a1957,0,88988,,v2r
a1957_sc,3,88989,,v3r
a1971,1,89009,,v1r
a1971_2,1,89009,,v1r
a1983,135,89023,,v3r
a1983_2,16,89023,,v3r
a2002,0,89044,,v1r
a2009,1,89053,,v1r
a2015,1,89060,,v1r
a2026,0,89073,,v1r
a2041,1,89089,,v1r
a2059,1,89109,,v1r
a2059_2,1,89109,,v1r
a2062,1,89112,,v1r
a2062_2,1,89112,,v1r
a2065,1,89117,,v1r
a2071,1,89123,,v1r
a2071_2,1,89123,,v1r
a2090,65,89144,,v3r
a2112,0,89168,,v1r
a2117,23,89173,,v5r
a2117_2,64,89173,,v5r
a2118,33,89174,,v3r
a2124,3,89180,,v3r
a2128,99,89184,,v6r
a2134,136,89191,,v5d
a2135,10,89192,,v2r
a2141,131,89198,,v3d
a2150,85,89207,,v3r
a2157,137,89214,,v3r
a2157_2,137,89214,,v3r
a2164,0,89221,,v2r
a2165,138,89222,,v3r
a2176,139,89233,,v1r
a2176_2,139,89233,,v1r
a2177,72,89234,,v1d
a2180,76,89237,,v4r
a2183,94,89241,,v3r
a2183_2,94,89241,,v3r
a2184,0,89242,,v1r
a2185,0,89243,,v1r
a2225,1,89287,,v1r
a2252,1,89321,,v1r
a2261,0,89331,,v1r
a2270,140,89342,,v3r
a2278,3,89351,,v3r
a2285,17,89358,,v4r
a2285_2,17,89358,,v4r
a2299,72,89372,,v1d
a2302,141,89375,,v3r
a2302_2,141,89375,,v3r
a2303,0,89376,,v1r
a2303_2,0,89376,,v1r
a2317,3,89391,,v3r
a2322,67,89397,,v4r
a2327,0,89402,,v1r
a2364,72,89449,,v1d
a2365,142,89450,,v3r
a2365_2,143,89451,,v5r
a2384,53,89473,,v1r
a2384_2,,89473,,v1r
a2395,0,89485,,v1r
a2404,0,89494,,v1r
a2412,1,89504,,v1r
a2417,0,89509,,v1r
a2418,144,89510,,v3r
a2418_2,3,89510,,v3r
a2428,72,89523,,v1d
a2439,1,89534,,v1r
a2442,3,89538,,v3r
a2442_2,3,89538,,v3r
a2453,0,89552,,v1r
a2460,0,89559,,v1r
a2468,26,89567,,v2r
a2468_2,26,89567,,v2r
a2469,105,89568,,v5r
a2469_2,105,89568,,v5r
a2473,1,89572,,v1r
a2473_2,1,89572,,v1r
a2474,3,89573,,v3r
a2474_2,3,89573,,v3r
a2476,1,89575,,v1r
a2480,1,89579,,v1r
a2480_2,1,89579,,v1r
a2481,1,89580,,v1r
a2481_2,1,89580,,v1r
a2482,145,89581,,v3r
a2482_2,145,89581,,v3r
a2485,45,89584,,v2r
a2488,34,89587,,v3r
a2488_2,34,89587,,v3r
a2491,0,89590,,v2r
a2491_2,0,89590,,v2r
a2494,3,89593,,v3r
a2494_2,3,89593,,v3r
a2498,146,89597,,v3r
a2498_2,147,89597,,v3r
a2498_3,146,89597,,v3r
a2498_4,147,89597,,v3r
a2500,131,89599,,v3d
a2500_2,131,89599,,v3d
a2501,102,89600,,v3r
a2501_2,102,89600,,v3r
a2504,28,89603,,v3r
a2504_2,28,89603,,v3r
a2504_3,28,89603,,v3r
a2504_4,28,89603,,v3r
a2508,1,89607,,v1r
a2508_2,109,89607,,v1r
a2508_3,148,89607,,v1r
a2508_4,1,89607,,v1r
a2508_5,109,89607,,v1r
a2508_6,148,89607,,v1r
a2510,29,89610,,v1r
a2510_2,29,89610,,v1r
a2512,1,89612,,v1r
a2512_2,1,89612,,v1r
a2513,138,89613,,v3r
a2513_2,138,89613,,v3r
a2513_3,80,89613,,v3r
a2513_4,64,89613,,v3r
a2513_5,80,89613,,v3r
a2513_6,64,89613,,v3r
a2516,1,89616,,v1r
a2516_2,1,89616,,v1r
a2517,3,89617,,v3r
a2517_2,3,89617,,v3r
a2520,0,89620,,v1r
a2520_2,0,89620,,v1r
a2522,72,89622,,v1d
a2522_2,72,89622,,v1d
a2523,34,89623,,v3r
a2523_2,34,89623,,v3r
a2523_3,34,89623,,v3r
a2523_4,34,89623,,v3r
a2526,1,89626,,v1r
a2526_2,1,89626,,v1r
a2527,1,89627,,v1r
a2527_2,1,89627,,v1r
a2527_3,1,89627,,v1r
a2527_4,1,89627,,v1r
a2528,149,89628,,v3r
a2528_2,149,89628,,v3r
a2535,1,89635,,v1r
a2535_2,1,89635,,v1r
a2538,85,89638,,v3r
a2538_2,85,89638,,v3r
a2539,1,89639,,v1r
a2539_2,1,89639,,v1r
a2540,1,89640,,v1r
a2540_2,1,89640,,v1r
a2542,1,89642,,v1r
a2542_2,1,89642,,v1r
a2543,29,89643,,v1r
a2543_2,29,89643,,v1r
a2545,0,89645,,v1r
a2545_2,0,89645,,v1r
a2546,0,89646,,v1r
a2546_2,0,89646,,v1r
a2547,1,89647,,v1r
a2547_2,1,89647,,v1r
a2548,150,89648,,v3r
a2548_2,150,89648,,v3r
a2553,1,89654,,v1r
a2575,1,89681,,v1r
a2622,72,89734,,v1d
a2658,1,89779,,v1r
a2662,3,89783,,v3r
