id,inflection_class,pattern
1112,162,647
1113,162,837
1114,162,886
1115,162,924
1116,163,1
1117,163,18
1118,163,179
1119,163,296
1120,163,366
1121,163,528
1122,163,648
1123,163,837
1124,163,886
1125,163,924
1126,164,0
1127,164,117
1128,164,235
1129,164,467
1130,164,586
1131,164,924
1132,165,3
1133,165,40
1134,165,180
1135,165,375
1136,165,529
1137,165,848
1138,166,1
1139,166,71
1140,166,181
1141,166,297
1142,166,420
1143,166,530
1144,166,649
1145,166,827
1146,166,875
1147,166,924
1148,167,1
1149,167,72
1150,167,182
1151,167,298
1152,167,421
1153,167,531
1154,167,650
1155,167,826
1156,167,874
1157,167,924
1158,168,0
1159,168,58
1160,168,289
1161,168,408
1162,168,641
1163,168,883
1164,169,1
1165,169,51
1166,169,183
1167,169,299
1168,169,401
1169,169,532
1170,169,651
1171,169,827
1172,169,875
1173,169,924
1174,170,1
1175,170,20
1176,170,164
1177,170,300
1178,170,369
1179,170,533
1180,170,652
1181,170,828
1182,170,876
1183,170,924
1184,171,1
1185,171,73
1186,171,184
1187,171,301
1188,171,422
1189,171,534
1190,171,653
1191,171,826
1192,171,874
1193,171,924
1194,172,1
1195,172,20
1196,172,123
1197,172,241
1198,172,369
1199,172,473
1200,172,592
1201,172,854
1202,172,902
1203,172,924
1204,173,1
1205,173,28
1206,173,161
1207,173,278
1208,173,378
1209,173,510
1210,173,629
1211,173,854
1212,173,902
1213,173,924
1214,174,1
1215,174,185
1216,174,302
1217,174,535
1218,174,654
1219,174,924
1220,175,1
1221,175,163
1222,175,280
1223,175,512
1224,175,631
1225,175,924
1226,176,1
1227,176,20
1228,176,171
1229,176,288
1230,176,369
1231,176,520
1232,176,640
1233,176,855
1234,176,903
1235,176,924
1236,177,834
1237,177,883
1238,177,924
1239,178,6
1240,178,158
1241,178,275
1242,178,507
1243,178,626
1244,178,924
1245,179,6
1246,179,186
1247,179,303
1248,179,536
1249,179,655
1250,179,924
1251,180,2
1252,180,20
1253,180,394
1254,181,2
1255,181,121
1256,181,239
1257,181,471
1258,181,590
1259,181,924
1260,182,1
1261,182,74
1262,182,423
1263,183,1
1264,183,118
1265,183,468
1266,184,365
1267,184,468
1268,184,587
1269,184,831
1270,184,880
1271,184,924
1272,185,1
1273,185,75
1274,185,243
1275,185,424
1276,185,595
1277,185,904
1278,186,1
1279,186,76
1280,186,126
1281,186,243
1282,186,425
1283,186,477
1284,186,595
1285,186,856
1286,186,905
1287,186,924
1288,187,1
1289,187,77
1290,187,426
1291,188,835
1292,188,884
1293,188,924
1294,189,2
1295,189,18
1296,189,386
1297,190,0
1298,190,14
1299,190,242
1300,190,362
1301,190,593
1302,190,882
1303,191,3
1304,191,44
1305,191,394
1306,192,1
1307,192,75
1308,192,427
1309,193,2
1310,193,10
1311,193,118
1312,193,236
1313,193,405
1314,193,474
1315,193,594
1316,193,827
1317,193,875
1318,193,924
1319,194,0
1320,194,31
1321,194,187
1322,194,304
1323,194,381
1324,194,537
1325,194,656
1326,194,827
1327,194,875
1328,194,924
1329,195,1
1330,195,188
1331,195,284
1332,195,354
1333,195,538
1334,195,636
1335,195,707
1336,195,924
1337,195,933
1338,195,935
1339,196,0
1340,196,22
1341,196,187
1342,196,304
1343,196,371
1344,196,537
1345,196,656
1346,196,829
1347,196,877
1348,196,924
1349,197,0
1350,197,14
1351,197,125
1352,197,362
1353,197,476
1354,197,833
1355,198,0
1356,198,14
1357,198,137
1358,198,254
1359,198,362
1360,198,487
1361,198,606
1362,198,846
1363,198,894
1364,198,924
1365,199,829
1366,200,1
1367,200,78
1368,200,189
1369,200,305
1370,200,428
1371,200,539
1372,200,657
1373,200,826
1374,200,874
1375,200,924
1376,201,1
1377,201,119
1378,201,469
1379,202,1
