flexeme_id,inflection_class,lila_id_lemma,hasInflectionType,gender
a0694_342,0,87570,v2r,
a0695_343,37,87571,v4r,
a0697_344,1,87574,v1r,
a0698_345,1,87575,v1r,
a0699_346,0,87576,v1r,
a0700_347,1,87577,v1r,
a0700_348,1,87577,v1r,
a0701_349,1,87578,v1r,
a0701_350,1,87578,v1r,
a0703_351,89,87580,v3r,
a0703_352,89,87580,v3r,
a0704_353,1,87581,v1r,
a0707_354,0,87584,v1r,
a0707_355,0,87584,v1r,
a0708_356,51,87585,v3d,
a0708_357,51,87585,v3d,
a0708_358,90,87585,v3d,
a0708_359,90,87585,v3d,
a0709_360,1,87586,v1r,
a0709_361,1,87586,v1r,
a0710_362,1,87587,v1r,
a0710_363,1,87587,v1r,
a0710_364,1,87587,v1r,
a0716_365,1,87594,v1r,
a0716_366,1,87594,v1r,
a0717_367,0,87595,v1r,
a0717_368,0,87595,v1r,
a0718_369,1,87596,v1r,
a0718_370,1,87596,v1r,
a0719_371,1,87597,v1r,
a0719_372,1,87597,v1r,
a0721_373,39,87599,v3r,
a0721_374,39,87599,v3r,
a0722_375,0,87600,v1r,
a0722_376,0,87600,v1r,
a0723_377,37,87601,v4r,
a0723_378,37,87601,v4r,
a0724_379,39,87602,v3r,
a0727_380,63,87605,v3r,
a0727_381,66,87605,v3r,
a0727_382,3,87605,v3r,
a0727_383,91,87605,v3r,
a0729_384,67,87607,v4r,
a0730_385,12,87608,v1d,
a0732_386,72,87610,v1d,
a0733_387,69,87611,v4d,
a0740_388,1,87620,v1r,
a0740_389,1,87620,v1r,
a0748_390,1,87628,v1r,
a0751_391,92,87632,v4r,
a0751_392,,87632,v4r,
a0752_393,1,87633,v1r,
a0753_394,1,87634,v1r,
a0754_395,12,87635,v1d,
a0757_396,28,87638,v3r,
a0757_397,28,87638,v3r,
a0758_398,1,87639,v1r,
a0758_399,1,87639,v1r,
a0759_400,1,87640,v1r,
a0760_401,39,87641,v3r,
a0760_402,39,87641,v3r,
a0761_403,47,87642,v6r,
a0761_404,541,87642,v6r,
a0764_405,1,87645,v1r,
a0766_406,46,87647,v3r,
a0766_407,93,87647,v3r,
a0768_408,0,87649,v1r,
a0770_409,1,87652,v1r,
a0772_410,76,87654,v4r,
a0772_411,37,87654,v4r,
a0774_412,1,87657,v1r,
a0777_413,1,87661,v1r,
a0780_414,3,87664,v3r,
a0781_415,3,87665,v3r,
a0792_416,1,87676,v1r,
a0792_417,1,87676,v1r,
a0793_418,72,87677,v1d,
a0793_419,72,87677,v1d,
a0796_420,94,87682,v3r,
a0796_421,94,87682,v3r,
a0797_422,95,87683,v3e,
a0799_423,1,87685,v1r,
a0800_424,96,87686,v3r,
a0807_425,72,87693,v1d,
a0807_426,72,87693,v1d,
a0809_427,37,87695,v4r,
a0809_428,37,87695,v4r,
a0810_429,1,87697,v1r,
a0811_430,0,87698,v1r,
a0820_431,1,87710,v1r,
a0822_432,1,87712,v1r,
a0829_433,1,87719,v1r,
a0829_434,1,87719,v1r,
a0831_435,1,87721,v1r,
a0832_436,1,87722,v1r,
a0832_437,1,87722,v1r,
a0833_438,39,87723,v3r,
a0835_439,0,87725,v2r,
a0836_440,97,87726,v3r,
a0841_441,12,87732,v1d,
a0852_442,1,87744,v1r,
a0860_443,12,87752,v1d,
a0860_444,12,87752,v1d,
a0862_445,1,87755,v1r,
a0880_446,0,87780,v2r,
a0880_sc_447,3,87781,v3r,
a0890_448,1,87792,v1r,
a0890_449,1,87792,v1r,
a0900_450,1,87804,v1r,
a0940_451,1,87847,v1r,
a0951_452,1,87859,v1r,
a0951_453,1,87859,v1r,
a0961_454,1,87869,v1r,
a0985_455,0,87899,v1r,
a0994_456,29,87908,v1r,
a1003_457,0,87917,v1r,
a1014_458,72,87928,v1d,
a1025_459,1,87940,v1r,
a1025_460,1,87940,v1r,
a1028_462,1,87943,v1r,
a1034_463,1,87951,v1r,
a1042_464,0,87960,v1r,
a1054_465,0,87974,v1r,
a1064_466,72,87985,v1d,
a1064_467,72,87985,v1d,
a1076_468,1,87998,v1r,
a1076_469,1,87998,v1r,
a1079_470,99,88001,v6r,
a1079_471,3,88001,v6r,
a1079_472,19,88001,v6r,
a1079_473,542,88001,v6r,
a1079_474,3,88001,v6r,
a1079_475,19,88001,v6r,
a1079_476,,88001,v6r,
a1079_477,,88001,v6r,
a1080_479,0,88002,v1r,
a1080_480,0,88002,v1r,
a1081_481,56,88003,v5r,
a1081_482,56,88003,v5r,
a1084_483,101,88006,v3r,
a1084_484,101,88006,v3r,
a1085_485,1,88007,v1r,
a1085_486,1,88007,v1r,
a1087_487,102,88009,v3r,
a1087_488,102,88009,v3r,
a1093_489,1,88015,v1r,
a1093_490,1,88015,v1r,
a1098_491,103,88020,v3r,
a1098_492,103,88020,v3r,
a1099_493,74,88021,v2r,
a1099_494,74,88021,v2r,
a1101_495,1,88023,v1r,
a1101_496,1,88023,v1r,
a1104_497,16,88026,v3r,
a1104_498,16,88026,v3r,
a1104_499,,88026,v3r,
a1104_500,,88026,v3r,
a1105_501,1,88027,v1r,
a1105_502,1,88027,v1r,
a1108_503,104,88030,v3r,
a1108_504,104,88030,v3r,
a1111_505,105,88033,v5r,
a1111_506,105,88033,v5r,
a1112_507,106,88034,v1d,
a1112_508,106,88034,v1d,
a1112_509,12,88034,v1d,
a1113_510,0,88035,v1r,
a1113_511,0,88035,v1r,
a1114_512,107,88036,v3r,
a1114_513,108,88036,v3r,
a1114_514,107,88036,v3r,
a1114_515,108,88036,v3r,
a1115_516,3,88037,v3r,
a1115_517,3,88037,v3r,
a1116_518,109,88038,v1r,
a1116_519,110,88038,v1r,
a1116_520,109,88038,v1r,
a1116_521,110,88038,v1r,
a1117_522,0,88039,v1r,
a1117_523,0,88039,v1r,
a1118_524,43,88040,v2r,
a1118_525,43,88040,v2r,
a1119_526,111,88041,v3r,
a1119_527,111,88041,v3r,
a1120_528,1,88042,v1r,
a1120_529,1,88042,v1r,
a1122_530,104,88044,v3r,
a1122_531,104,88044,v3r,
a1122_532,104,88044,v3r,
a1139_533,37,88063,v4r,
a1139_534,37,88063,v4r,
a1140_535,0,88064,v2r,
a1140_536,0,88064,v2r,
a1141_537,3,88065,v3r,
a1141_538,3,88065,v3r,
a1142_539,0,88066,v1r,
a1142_540,0,88066,v1r,
a1144_541,12,88068,v1d,
a1144_542,12,88068,v1d,
a1149_543,97,88073,v3r,
a1149_544,97,88073,v3r,
a1150_545,1,88074,v1r,
a1150_546,1,88074,v1r,
a1152_547,1,88076,v1r,
a1152_548,1,88076,v1r,
a1154_549,1,88078,v1r,
a1154_550,1,88078,v1r,
a1156_551,3,88080,v3r,
a1156_552,3,88080,v3r,
a1157_553,1,88081,v1r,
a1157_554,1,88081,v1r,
a1158_555,112,88083,v5r,
a1158_556,,88083,v5r,
a1158_557,112,88083,v5r,
a1158_558,,88083,v5r,
a1164_559,1,88091,v1r,
a1164_560,1,88091,v1r,
a1169_561,29,88096,v1r,
a1176_562,1,88103,v1r,
a1183_563,114,88110,v3d,
a1183_564,114,88110,v3d,
a1183_565,114,88110,v3d,
a1183_566,114,88110,v3d,
a1188_567,31,88116,v6r,
a1188_568,31,88116,v6r,
a1204_569,57,88134,v3r,
a1204_570,59,88134,v3r,
a1204_571,57,88134,v3r,
a1204_572,59,88134,v3r,
a1204_573,57,88134,v3r,
a1204_574,59,88134,v3r,
a1208_575,14,88140,v3r,
a1216_576,0,88152,v1r,
a1236_577,12,88177,v1d,
a1250_578,115,88191,v6r,
a1267_579,0,88211,v1r,
a1282_580,3,88232,v3r,
a1282_581,3,88232,v3r,
a1285_582,3,88236,v3r,
a1290_583,1,88242,v1r,
a1299_584,53,88251,v1r,
a1333_585,3,88293,v3r,
a1333_586,3,88293,v3r,
a1337_587,116,88297,v2r,
a1337_sc_588,117,88298,v3r,
a1359_589,0,88326,v1r,
a1362_590,1,88329,v1r,
a1378_591,1,88348,v1r,
a1378_592,1,88348,v1r,
a1379_593,0,88349,v1r,
a1384_594,118,88354,v3d,
a1384_595,118,88354,v3d,
a1385_596,0,88355,v1r,
a1385_597,0,88355,v1r,
a1386_598,0,88356,v1r,
a1386_599,0,88356,v1r,
a1387_600,0,88357,v1r,
a1387_601,0,88357,v1r,
a1388_602,3,88358,v3r,
a1388_603,3,88358,v3r,
a1390_604,1,88360,v1r,
a1390_605,1,88360,v1r,
a1392_606,0,88362,v1r,
a1392_607,0,88362,v1r,
a1393_608,0,88363,v1r,
a1393_609,0,88363,v1r,
a1393_610,0,88363,v1r,
a1393_611,0,88363,v1r,
a1398_612,0,88368,v1r,
a1398_613,0,88368,v1r,
a1403_614,1,88373,v1r,
a1403_615,1,88373,v1r,
a1404_616,119,88374,v3r,
a1404_617,119,88374,v3r,
a1408_618,0,88378,v1r,
a1414_619,1,88384,v1r,
a1414_620,1,88384,v1r,
a1415_621,1,88385,v1r,
a1415_622,1,88385,v1r,
a1415_623,1,88385,v1r,
a1415_624,1,88385,v1r,
a1416_625,23,88386,v5r,
a1416_626,23,88386,v5r,
a1417_627,543,88388,v5r,
a1417_628,30,88388,v5r,
a1417_629,44,88387,v2r,
a1417_630,543,88388,v5r,
a1417_631,30,88388,v5r,
a1417_632,44,88387,v2r,
a1418_633,28,88389,v3r,
a1418_634,28,88389,v3r,
a1424_635,1,88395,v1r,
a1424_636,1,88395,v1r,
a1425_637,37,88396,v4r,
a1425_638,37,88396,v4r,
a1426_639,121,88397,v3r,
a1426_640,121,88397,v3r,
a1428_641,3,88399,v3r,
a1428_642,3,88399,v3r,
a1434_643,122,88405,v3d,
a1434_644,122,88405,v3d,
a1436_645,3,88407,v3r,
a1436_646,3,88407,v3r,
a1436_647,3,88407,v3r,
a1436_648,3,88407,v3r,
a1437_649,41,88408,v2r,
a1437_650,41,88408,v2r,
a1439_651,72,88410,v1d,
a1439_652,72,88410,v1d,
a1440_653,0,88411,v1r,
a1440_654,0,88411,v1r,
a1441_655,28,88412,v3r,
a1441_656,28,88412,v3r,
a1442_657,19,88413,v3r,
a1442_658,19,88413,v3r,
a1457_659,123,88429,v3r,
a1457_661,125,88429,v3r,
a1461_662,72,88433,v1d,
a1474_663,0,88447,v1r,
a1476_664,31,88449,v6r,
a1476_665,31,88449,v6r,
a1486_666,1,88461,v1r,
a1493_667,1,88468,v1r,
a1495_668,0,88470,v1r,
a1499_669,3,88474,v3r,
a1499_670,3,88474,v3r,
a1508_671,0,88484,v1r,
a1527_672,1,88503,v1r,
a1533_673,536,88509,v6r,
a1533_674,537,88509,v6r,
a1533_676,0,88509,v6r,
a1533_677,544,88509,v6r,
a1537_679,72,88513,v1d,
a1537_680,72,88513,v1d,
a1537_681,72,88513,v1d,
a1537_682,72,88513,v1d,
a1552_683,72,88533,v1d,
a1570_684,1,88555,v1r,
a1570_685,1,88555,v1r,
a1571_686,41,88556,v2r,
a1576_687,3,88563,v3r,
a1578_688,1,88566,v1r,
a1579_689,0,88567,v1r,
a1585_690,1,88574,v1r,
a1586_691,0,88575,v1r,
a1590_692,3,88579,v3r,
a1600_693,37,88591,v4r,
a1612_694,34,88603,v6r,
a1622_695,127,88613,v3r,
a1626_696,17,88618,v4r,
a1626_697,18,88618,v4r,
a1650_698,1,88642,v1r,
a1650_699,1,88642,v1r,
a1653_701,97,88645,v3r,
a1679_702,129,88674,v4r,
a1679_703,67,88674,v4r,
a1679_704,,88674,v4r,
a1682_705,1,88678,v1r,
a1684_706,12,88680,v1d,
a1688_707,0,88685,v1r,
a1692_708,0,88691,v1r,
a1694_709,1,88693,v1r,
a1694_710,1,88693,v1r,
a1705_711,1,88705,v1r,
a1709_712,1,88709,v1r,
a1712_713,86,88713,v4d,
a1723_714,85,88724,v3r,
a1723_715,,88724,v3r,
a1724_716,88,88725,v2r,
a1752_717,63,88756,v3r,
a1762_718,131,88768,v3r,
a1762_719,3,88768,v3r,
a1766_720,1,88773,v1r,
a1772_721,1,88779,v1r,
a1774_722,1,88781,v1r,
a1777_723,0,88784,v1r,
a1781_724,1,88788,v1r,
a1781_725,1,88788,v1r,
a1781_726,1,88788,v1r,
a1781_727,1,88788,v1r,
a1786_729,72,88793,v1d,
a1792_730,1,88799,v1r,
a1812_731,1,88822,v1r,
a1812_732,1,88822,v1r,
a1874_733,132,88891,v3d,
a1875_734,133,88892,v2r,
a1875_735,,88892,v2r,
a1878_736,134,88896,v3r,
a1895_737,1,88914,v1r,
a1896_738,0,88915,v1r,
a1899_739,135,88918,v3d,
a1919_740,1,88943,v1r,
a1925_741,0,88951,v1r,
a1925_742,0,88951,v1r,
a1925_743,0,88951,v1r,
a1944_744,94,88974,v3r,
a1944_745,94,88974,v3r,
a1951_746,0,88982,v1r,
a1957_747,0,88988,v2r,
a1957_sc_748,3,88989,v3r,
a1971_749,1,89009,v1r,
a1971_750,1,89009,v1r,
a1983_751,136,89023,v3r,
a1983_752,16,89023,v3r,
a2002_753,0,89044,v1r,
a2009_754,1,89053,v1r,
a2015_755,1,89060,v1r,
a2026_756,0,89073,v1r,
a2041_757,1,89089,v1r,
a2059_758,1,89109,v1r,
a2059_759,1,89109,v1r,
a2062_760,1,89112,v1r,
a2062_761,1,89112,v1r,
a2065_762,1,89117,v1r,
a2071_763,1,89123,v1r,
a2071_764,1,89123,v1r,
